seed,corruption,accuracy_p05,accuracy_control,control,delta
42,brightness,73.666,72.17,baseline,1.4959999999999951
42,contrast,56.146,52.92999999999999,baseline,3.216000000000008
42,defocus_blur,60.028,58.67,baseline,1.357999999999997
42,elastic_transform,61.263999999999996,60.58,baseline,0.6839999999999975
42,fog,63.784000000000006,62.632000000000005,baseline,1.152000000000001
42,frost,47.977999999999994,47.418,baseline,0.5599999999999952
42,gaussian_noise,17.907999999999998,21.484,baseline,-3.576000000000004
42,glass_blur,22.236,20.514,baseline,1.7220000000000013
42,impulse_noise,29.662,24.919999999999998,baseline,4.742000000000001
42,jpeg_compression,47.946,52.098,baseline,-4.152000000000001
42,motion_blur,54.108000000000004,53.056,baseline,1.0520000000000067
42,pixelate,46.964,51.55,baseline,-4.5859999999999985
42,shot_noise,25.912,29.77,baseline,-3.8580000000000005
42,snow,57.24400000000001,52.90599999999999,baseline,4.338000000000015
42,zoom_blur,52.186,52.086,baseline,0.10000000000000142
43,brightness,72.798,71.99600000000001,baseline,0.8019999999999925
43,contrast,56.132000000000005,53.722,baseline,2.4100000000000037
43,defocus_blur,60.034000000000006,58.402,baseline,1.632000000000005
43,elastic_transform,61.19199999999999,60.398,baseline,0.7939999999999898
43,fog,63.720000000000006,63.194,baseline,0.5260000000000034
43,frost,47.964,47.95,baseline,0.013999999999995794
43,gaussian_noise,16.906,22.794,baseline,-5.888000000000002
43,glass_blur,20.846,20.696,baseline,0.14999999999999858
43,impulse_noise,29.058,25.048000000000002,baseline,4.009999999999998
43,jpeg_compression,47.622,52.258,baseline,-4.636000000000003
43,motion_blur,54.468,53.577999999999996,baseline,0.8900000000000077
43,pixelate,47.980000000000004,51.760000000000005,baseline,-3.780000000000001
43,shot_noise,25.34,30.748,baseline,-5.408000000000001
43,snow,56.303999999999995,53.212,baseline,3.0919999999999916
43,zoom_blur,52.572,52.104,baseline,0.4680000000000035
44,brightness,74.11999999999999,72.088,baseline,2.0319999999999965
44,contrast,55.338,53.525999999999996,baseline,1.8120000000000047
44,defocus_blur,60.374,58.82000000000001,baseline,1.553999999999995
44,elastic_transform,61.35600000000001,60.3,baseline,1.0560000000000116
44,fog,64.488,63.194,baseline,1.293999999999997
44,frost,48.086,47.808,baseline,0.2779999999999987
44,gaussian_noise,15.962,22.491999999999997,baseline,-6.529999999999998
44,glass_blur,21.56,20.682,baseline,0.8780000000000001
44,impulse_noise,27.136000000000003,24.746000000000002,baseline,2.3900000000000006
44,jpeg_compression,46.942,52.658,baseline,-5.716000000000001
44,motion_blur,54.348,53.568000000000005,baseline,0.779999999999994
44,pixelate,47.342,52.008,baseline,-4.666000000000004
44,shot_noise,23.880000000000003,30.426,baseline,-6.545999999999996
44,snow,56.779999999999994,54.20399999999999,baseline,2.5760000000000005
44,zoom_blur,53.508,52.734,baseline,0.7740000000000009
42,brightness,73.666,74.11,cutmix_p1,-0.4440000000000026
42,contrast,56.146,55.234,cutmix_p1,0.911999999999999
42,defocus_blur,60.028,60.00599999999999,cutmix_p1,0.02200000000000557
42,elastic_transform,61.263999999999996,60.406000000000006,cutmix_p1,0.8579999999999899
42,fog,63.784000000000006,64.164,cutmix_p1,-0.37999999999999545
42,frost,47.977999999999994,46.998000000000005,cutmix_p1,0.9799999999999898
42,gaussian_noise,17.907999999999998,12.058,cutmix_p1,5.849999999999998
42,glass_blur,22.236,21.598000000000003,cutmix_p1,0.6379999999999981
42,impulse_noise,29.662,26.351999999999997,cutmix_p1,3.3100000000000023
42,jpeg_compression,47.946,43.844,cutmix_p1,4.101999999999997
42,motion_blur,54.108000000000004,53.794000000000004,cutmix_p1,0.31400000000000006
42,pixelate,46.964,44.71,cutmix_p1,2.253999999999998
42,shot_noise,25.912,19.198,cutmix_p1,6.713999999999999
42,snow,57.24400000000001,57.364,cutmix_p1,-0.11999999999999034
42,zoom_blur,52.186,53.370000000000005,cutmix_p1,-1.1840000000000046
43,brightness,72.798,73.564,cutmix_p1,-0.7659999999999911
43,contrast,56.132000000000005,55.072,cutmix_p1,1.0600000000000023
43,defocus_blur,60.034000000000006,60.236000000000004,cutmix_p1,-0.20199999999999818
43,elastic_transform,61.19199999999999,60.75,cutmix_p1,0.44199999999999307
43,fog,63.720000000000006,64.046,cutmix_p1,-0.3260000000000005
43,frost,47.964,46.846,cutmix_p1,1.118000000000002
43,gaussian_noise,16.906,10.966,cutmix_p1,5.9399999999999995
43,glass_blur,20.846,19.736,cutmix_p1,1.1099999999999994
43,impulse_noise,29.058,21.686,cutmix_p1,7.372
