control,seed,clean,mca,noise
baseline,42,1.5899999999999892,0.2831999999999937,-3.7170000000000023
baseline,43,2.5,-0.32826666666667137,-5.648000000000007
baseline,44,2.009999999999991,-0.5356000000000094,-6.537999999999997
cutmix_p1,42,-0.7700000000000102,1.588399999999993,6.2819999999999965
cutmix_p1,43,-0.5999999999999943,1.8464000000000027,6.623000000000001
cutmix_p1,44,-0.7000000000000028,0.533066666666663,2.501999999999999
