method,seed,corruption,severity,accuracy
baseline,44,gaussian_noise,3,16.22
baseline,44,gaussian_noise,4,13.61
baseline,44,gaussian_noise,5,11.2
baseline,44,glass_blur,1,20.5
baseline,44,glass_blur,2,22.14
baseline,44,glass_blur,3,26.27
baseline,44,glass_blur,4,15.38
baseline,44,glass_blur,5,19.12
baseline,44,impulse_noise,1,54.56
baseline,44,impulse_noise,2,32.84
baseline,44,impulse_noise,3,20.76
baseline,44,impulse_noise,4,9.83
baseline,44,impulse_noise,5,5.74
baseline,44,jpeg_compression,1,62.43
baseline,44,jpeg_compression,2,55.1
baseline,44,jpeg_compression,3,52.13
baseline,44,jpeg_compression,4,49.29
baseline,44,jpeg_compression,5,44.34
baseline,44,motion_blur,1,66.97
baseline,44,motion_blur,2,58.43
baseline,44,motion_blur,3,49.88
baseline,44,motion_blur,4,50.25
baseline,44,motion_blur,5,42.31
baseline,44,pixelate,1,72.43
baseline,44,pixelate,2,64.54
baseline,44,pixelate,3,58.85
baseline,44,pixelate,4,41.21
baseline,44,pixelate,5,23.01
baseline,44,shot_noise,1,55.53
baseline,44,shot_noise,2,42.66
baseline,44,shot_noise,3,23.24
baseline,44,shot_noise,4,18.14
baseline,44,shot_noise,5,12.56
baseline,44,snow,1,67.33
baseline,44,snow,2,49.71
baseline,44,snow,3,56.11
baseline,44,snow,4,52.84
baseline,44,snow,5,45.03
baseline,44,zoom_blur,1,64.39
baseline,44,zoom_blur,2,59.46
baseline,44,zoom_blur,3,52.95
baseline,44,zoom_blur,4,47.01
baseline,44,zoom_blur,5,39.86
cutmix_p05,42,brightness,1,77.8
cutmix_p05,42,brightness,2,76.81
cutmix_p05,42,brightness,3,74.91
cutmix_p05,42,brightness,4,73.04
cutmix_p05,42,brightness,5,65.77
cutmix_p05,42,contrast,1,76.81
cutmix_p05,42,contrast,2,70.16
cutmix_p05,42,contrast,3,63.31
cutmix_p05,42,contrast,4,50.4
cutmix_p05,42,contrast,5,20.05
cutmix_p05,42,defocus_blur,1,77.76
cutmix_p05,42,defocus_blur,2,74.28
cutmix_p05,42,defocus_blur,3,64.26
cutmix_p05,42,defocus_blur,4,52.59
cutmix_p05,42,defocus_blur,5,31.25
cutmix_p05,42,elastic_transform,1,69.31
cutmix_p05,42,elastic_transform,2,68.78
cutmix_p05,42,elastic_transform,3,62.43
cutmix_p05,42,elastic_transform,4,56.15
cutmix_p05,42,elastic_transform,5,49.65
cutmix_p05,42,fog,1,77.35
cutmix_p05,42,fog,2,73.9
cutmix_p05,42,fog,3,69.29
cutmix_p05,42,fog,4,61.88
cutmix_p05,42,fog,5,36.5
cutmix_p05,42,frost,1,65.49
cutmix_p05,42,frost,2,56.0
cutmix_p05,42,frost,3,43.18
cutmix_p05,42,frost,4,42.17
cutmix_p05,42,frost,5,33.05
