seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
43,gaussian_noise,1,37.88,45.06,baseline,-7.18
43,gaussian_noise,2,19.5,27.03,baseline,-7.530000000000001
43,gaussian_noise,3,11.11,16.83,baseline,-5.719999999999999
43,gaussian_noise,4,8.78,13.82,baseline,-5.040000000000001
43,gaussian_noise,5,7.26,11.23,baseline,-3.9700000000000006
43,glass_blur,1,20.42,20.8,baseline,-0.379999999999999
43,glass_blur,2,21.86,22.29,baseline,-0.4299999999999997
43,glass_blur,3,26.4,26.18,baseline,0.21999999999999886
43,glass_blur,4,16.04,15.16,baseline,0.879999999999999
43,glass_blur,5,19.51,19.05,baseline,0.46000000000000085
43,impulse_noise,1,63.66,54.95,baseline,8.709999999999994
43,impulse_noise,2,41.1,33.18,baseline,7.920000000000002
43,impulse_noise,3,24.44,21.04,baseline,3.400000000000002
43,impulse_noise,4,10.49,10.15,baseline,0.33999999999999986
43,impulse_noise,5,5.6,5.92,baseline,-0.3200000000000003
43,jpeg_compression,1,59.02,61.78,baseline,-2.759999999999998
43,jpeg_compression,2,50.23,54.34,baseline,-4.1100000000000065
43,jpeg_compression,3,46.76,51.67,baseline,-4.910000000000004
43,jpeg_compression,4,43.13,48.58,baseline,-5.449999999999996
43,jpeg_compression,5,38.97,44.92,baseline,-5.950000000000003
43,motion_blur,1,68.53,66.96,baseline,1.5700000000000074
43,motion_blur,2,59.62,58.49,baseline,1.1299999999999955
43,motion_blur,3,50.67,50.09,baseline,0.5799999999999983
43,motion_blur,4,50.71,49.92,baseline,0.7899999999999991
43,motion_blur,5,42.81,42.43,baseline,0.38000000000000256
43,pixelate,1,73.74,71.88,baseline,1.8599999999999994
43,pixelate,2,63.96,63.49,baseline,0.46999999999999886
43,pixelate,3,56.06,58.35,baseline,-2.289999999999999
43,pixelate,4,31.99,40.32,baseline,-8.330000000000002
43,pixelate,5,14.15,24.76,baseline,-10.610000000000001
43,shot_noise,1,52.02,55.8,baseline,-3.779999999999994
43,shot_noise,2,36.2,43.24,baseline,-7.039999999999999
43,shot_noise,3,17.0,23.47,baseline,-6.469999999999999
43,shot_noise,4,12.78,18.36,baseline,-5.58
43,shot_noise,5,8.7,12.87,baseline,-4.17
43,snow,1,71.06,66.38,baseline,4.680000000000007
43,snow,2,52.43,48.91,baseline,3.520000000000003
43,snow,3,59.13,54.93,baseline,4.200000000000003
43,snow,4,54.79,51.84,baseline,2.9499999999999957
43,snow,5,44.11,44.0,baseline,0.10999999999999943
43,zoom_blur,1,65.91,64.21,baseline,1.7000000000000028
43,zoom_blur,2,59.98,59.08,baseline,0.8999999999999986
43,zoom_blur,3,52.91,52.16,baseline,0.75
43,zoom_blur,4,46.37,46.45,baseline,-0.0800000000000054
43,zoom_blur,5,37.69,38.62,baseline,-0.9299999999999997
44,brightness,1,77.99,76.2,baseline,1.789999999999992
44,brightness,2,77.05,75.24,baseline,1.8100000000000023
44,brightness,3,75.33,73.62,baseline,1.7099999999999937
44,brightness,4,73.35,71.2,baseline,2.1499999999999915
