control,corruption,mean,std,minimum,maximum,seeds
baseline,brightness,1.443333333333328,0.616689008604285,0.8019999999999925,2.0319999999999965,3
baseline,contrast,2.4793333333333387,0.7045632216723605,1.8120000000000047,3.216000000000008,3
baseline,defocus_blur,1.5146666666666657,0.14117129075465093,1.357999999999997,1.632000000000005,3
baseline,elastic_transform,0.8446666666666663,0.19110555547481264,0.6839999999999975,1.0560000000000116,3
baseline,fog,0.9906666666666671,0.40862860072849894,0.5260000000000034,1.293999999999997,3
baseline,frost,0.28399999999999653,0.27304944607158577,0.013999999999995794,0.5599999999999952,3
baseline,gaussian_noise,-5.331333333333334,1.553685081776009,-6.529999999999998,-3.576000000000004,3
baseline,glass_blur,0.9166666666666666,0.7867129929862194,0.14999999999999858,1.7220000000000013,3
baseline,impulse_noise,3.714,1.2036145562429859,2.3900000000000006,4.742000000000001,3
baseline,jpeg_compression,-4.834666666666668,0.800703024431239,-5.716000000000001,-4.152000000000001,3
baseline,motion_blur,0.9073333333333361,0.13682592346969535,0.779999999999994,1.0520000000000067,3
baseline,pixelate,-4.344000000000001,0.49007346388067197,-4.666000000000004,-3.780000000000001,3
baseline,shot_noise,-5.270666666666666,1.3492521385320562,-6.545999999999996,-3.8580000000000005,3
baseline,snow,3.335333333333336,0.9058528210108694,2.5760000000000005,4.338000000000015,3
baseline,zoom_blur,0.4473333333333353,0.3374749373410316,0.10000000000000142,0.7740000000000009,3
cutmix_p1,brightness,-0.40000000000000097,0.38986664386683956,-0.7659999999999911,0.009999999999990905,3
cutmix_p1,contrast,0.7339999999999994,0.4427053195975875,0.22999999999999687,1.0600000000000023,3
cutmix_p1,defocus_blur,0.02933333333333839,0.235085799939798,-0.20199999999999818,0.2680000000000078,3
cutmix_p1,elastic_transform,0.7706666666666612,0.29486494083450276,0.44199999999999307,1.0120000000000005,3
cutmix_p1,fog,0.026666666666668466,0.6581560098740517,-0.37999999999999545,0.7860000000000014,3
cutmix_p1,frost,0.43799999999999767,1.0605300561511657,-0.7839999999999989,1.118000000000002,3
cutmix_p1,gaussian_noise,4.6419999999999995,2.170726145786242,2.136000000000001,5.9399999999999995,3
cutmix_p1,glass_blur,0.5873333333333323,0.5497538843276447,0.013999999999999346,1.1099999999999994,3
cutmix_p1,impulse_noise,3.426666666666668,3.88831291607727,-0.40199999999999747,7.372,3
cutmix_p1,jpeg_compression,2.6133333333333346,1.3875393087524854,1.3560000000000016,4.101999999999997,3
cutmix_p1,motion_blur,0.69266666666667,0.34526125373886957,0.31400000000000006,0.9900000000000091,3
cutmix_p1,pixelate,1.952666666666668,0.40368964977236393,1.4939999999999998,2.253999999999998,3
cutmix_p1,shot_noise,5.629333333333334,2.4096342737712972,2.868000000000002,7.306000000000001,3
cutmix_p1,snow,-0.6093333333333367,0.6269205159614276,-1.3160000000000096,-0.11999999999999034,3
cutmix_p1,zoom_blur,-0.6940000000000026,0.42435362611859634,-1.1840000000000046,-0.4480000000000004,3
