method,seeds,clean_mean,clean_std,mca_mean,mca_std
baseline,3,94.42,0.3897435053980959,73.65195555555556,0.2584650875485475
mixup,3,95.26666666666667,0.14843629385475396,78.53502222222222,0.6098120123204896
cutmix,3,95.77,0.04999999999999716,71.14137777777778,0.461155193609048
randaugment,3,95.03333333333335,0.09291573243177925,81.33359999999999,0.3391854556630179
augmix,3,94.83,0.269072480941469,85.4483111111111,0.4446914602449789
