method,seed,corruption,accuracy,baseline,delta
cutmix,43,gaussian_noise,28.369999999999997,46.562,-18.192
cutmix,43,glass_blur,55.846000000000004,54.888,0.9580000000000055
cutmix,43,impulse_noise,51.489999999999995,55.738,-4.248000000000005
cutmix,43,jpeg_compression,74.022,79.588,-5.565999999999988
cutmix,43,motion_blur,78.97999999999999,77.24600000000001,1.7339999999999804
cutmix,43,pixelate,67.478,74.26599999999999,-6.787999999999997
cutmix,43,shot_noise,40.436,58.69200000000001,-18.256000000000007
cutmix,43,snow,85.686,81.912,3.774000000000001
cutmix,43,zoom_blur,75.642,78.272,-2.6300000000000097
cutmix,44,brightness,94.306,93.428,0.8780000000000001
cutmix,44,contrast,81.35,77.134,4.215999999999994
cutmix,44,defocus_blur,79.398,82.40599999999999,-3.0079999999999956
cutmix,44,elastic_transform,83.97200000000001,84.642,-0.6699999999999875
cutmix,44,fog,89.09,88.9,0.18999999999999773
cutmix,44,frost,79.104,78.15,0.9539999999999935
cutmix,44,gaussian_noise,32.608,42.536,-9.928000000000004
cutmix,44,glass_blur,58.75,54.342,4.408000000000001
cutmix,44,impulse_noise,51.564,50.275999999999996,1.2880000000000038
cutmix,44,jpeg_compression,72.83200000000001,79.588,-6.755999999999986
cutmix,44,motion_blur,78.002,78.386,-0.38400000000000034
cutmix,44,pixelate,71.026,75.16799999999999,-4.141999999999996
cutmix,44,shot_noise,44.222,55.45399999999999,-11.231999999999992
cutmix,44,snow,85.942,82.57000000000001,3.3719999999999857
cutmix,44,zoom_blur,72.42999999999999,77.462,-5.032000000000011
mixup,42,brightness,93.896,92.694,1.2019999999999982
mixup,42,contrast,86.436,75.692,10.744000000000014
mixup,42,defocus_blur,86.206,82.34200000000001,3.86399999999999
mixup,42,elastic_transform,86.35,84.262,2.087999999999994
mixup,42,fog,89.736,87.458,2.278000000000006
mixup,42,frost,88.602,74.96000000000001,13.641999999999996
mixup,42,gaussian_noise,54.294000000000004,48.376,5.918000000000006
mixup,42,glass_blur,68.54400000000001,53.010000000000005,15.534000000000006
mixup,42,impulse_noise,53.217999999999996,55.146,-1.9280000000000044
mixup,42,jpeg_compression,81.43199999999999,79.49600000000001,1.9359999999999786
mixup,42,motion_blur,81.902,78.866,3.0360000000000014
mixup,42,pixelate,80.306,75.888,4.417999999999992
mixup,42,shot_noise,66.502,60.116,6.385999999999996
mixup,42,snow,87.938,80.612,7.326000000000008
mixup,42,zoom_blur,81.116,77.07000000000001,4.045999999999992
mixup,43,brightness,94.148,92.944,1.2039999999999935
mixup,43,contrast,85.688,76.408,9.280000000000001
mixup,43,defocus_blur,86.66,82.534,4.125999999999991
mixup,43,elastic_transform,87.38,84.346,3.033999999999992
