method,seed,category,severity,accuracy,baseline,delta
baseline,43,weather,4,83.7625,83.7625,0.0
baseline,43,weather,5,74.8125,74.8125,0.0
baseline,44,blur,1,82.5575,82.5575,0.0
baseline,44,blur,2,80.155,80.155,0.0
baseline,44,blur,3,76.0875,76.0875,0.0
baseline,44,blur,4,68.71000000000001,68.71000000000001,0.0
baseline,44,blur,5,58.235,58.235,0.0
baseline,44,digital,1,91.21000000000001,91.21000000000001,0.0
baseline,44,digital,2,87.82249999999999,87.82249999999999,0.0
baseline,44,digital,3,84.3175,84.3175,0.0
baseline,44,digital,4,75.17750000000001,75.17750000000001,0.0
baseline,44,digital,5,57.137499999999996,57.137499999999996,0.0
baseline,44,noise,1,81.57666666666667,81.57666666666667,0.0
baseline,44,noise,2,65.19666666666666,65.19666666666666,0.0
baseline,44,noise,3,45.876666666666665,45.876666666666665,0.0
baseline,44,noise,4,32.07,32.07,0.0
baseline,44,noise,5,22.39,22.39,0.0
baseline,44,weather,1,92.4375,92.4375,0.0
baseline,44,weather,2,88.68,88.68,0.0
baseline,44,weather,3,86.41499999999999,86.41499999999999,0.0
baseline,44,weather,4,84.7425,84.7425,0.0
baseline,44,weather,5,76.535,76.535,0.0
cutmix,42,blur,1,82.4,81.495,0.9050000000000011
cutmix,42,blur,2,79.59,79.4875,0.10250000000000625
cutmix,42,blur,3,75.01,75.72,-0.7099999999999937
cutmix,42,blur,4,66.505,68.4725,-1.9675000000000011
cutmix,42,blur,5,54.3075,58.935,-4.627500000000005
cutmix,42,digital,1,91.03,90.48,0.5499999999999972
cutmix,42,digital,2,86.8425,87.00999999999999,-0.16749999999998977
cutmix,42,digital,3,81.91749999999999,83.5275,-1.6100000000000136
cutmix,42,digital,4,70.715,74.995,-4.280000000000001
cutmix,42,digital,5,54.985,58.16,-3.174999999999997
cutmix,42,noise,1,75.58666666666666,81.48333333333333,-5.896666666666675
cutmix,42,noise,2,53.846666666666664,67.98333333333333,-14.13666666666667
cutmix,42,noise,3,32.96,52.15,-19.189999999999998
cutmix,42,noise,4,22.94333333333333,40.983333333333334,-18.040000000000003
cutmix,42,noise,5,15.406666666666666,30.13,-14.723333333333333
cutmix,42,weather,1,93.5425,91.5675,1.9750000000000085
cutmix,42,weather,2,89.7875,87.09,2.697499999999991
cutmix,42,weather,3,87.5625,84.97749999999999,2.585000000000008
cutmix,42,weather,4,85.28999999999999,82.525,2.7649999999999864
cutmix,42,weather,5,76.14,73.495,2.644999999999996
cutmix,43,blur,1,83.545,82.3775,1.167500000000004
cutmix,43,blur,2,80.8375,79.9625,0.875
cutmix,43,blur,3,76.2125,76.1525,0.060000000000002274
cutmix,43,blur,4,68.3175,68.965,-0.647500000000008
cutmix,43,blur,5,56.162499999999994,58.7175,-2.555000000000007
cutmix,43,digital,1,91.135,90.66499999999999,0.4700000000000131
cutmix,43,digital,2,86.7125,87.1625,-0.44999999999998863
cutmix,43,digital,3,82.1675,83.6225,-1.4549999999999983
cutmix,43,digital,4,70.975,74.36,-3.385000000000005
cutmix,43,digital,5,53.165,57.449999999999996,-4.284999999999997
cutmix,43,noise,1,73.61666666666666,82.93666666666667,-9.320000000000007
cutmix,43,noise,2,51.89666666666667,68.86,-16.96333333333333
cutmix,43,noise,3,32.02,50.81333333333333,-18.79333333333333
cutmix,43,noise,4,23.72,38.660000000000004,-14.940000000000005
cutmix,43,noise,5,19.24,27.05,-7.810000000000002
cutmix,43,weather,1,93.5375,91.9125,1.625
cutmix,43,weather,2,89.64,87.9875,1.6525000000000034
cutmix,43,weather,3,87.4725,85.735,1.7374999999999972
cutmix,43,weather,4,85.61,83.7625,1.8474999999999966
cutmix,43,weather,5,76.41499999999999,74.8125,1.602499999999992
cutmix,44,blur,1,84.055,82.5575,1.4975000000000023
