method,corruption,seeds,accuracy_mean,accuracy_std,delta_mean,delta_std,delta_min,delta_max
augmix,brightness,3,93.782,0.22002727103702824,0.7599999999999957,0.3927798365496859,0.4860000000000042,1.2099999999999937
augmix,contrast,3,85.82133333333333,0.8857817639426412,9.409999999999997,1.1851700299957024,8.393999999999991,10.712000000000003
augmix,defocus_blur,3,92.82600000000001,0.28007856040760515,10.398666666666665,0.37702166162347905,9.974000000000004,10.693999999999988
augmix,elastic_transform,3,88.59133333333334,0.18815242048224975,4.174666666666671,0.37112980658163847,3.798000000000016,4.539999999999992
augmix,fog,3,91.182,0.2843378272407622,3.174666666666667,0.7671827248663372,2.397999999999996,3.932000000000002
augmix,frost,3,86.04199999999999,0.5798034149606257,9.38933333333332,1.8555153821333112,8.11399999999999,11.517999999999986
augmix,gaussian_noise,3,75.352,1.6920000000000073,29.527333333333342,2.9542717094629825,27.098,32.816
augmix,glass_blur,3,68.894,1.4618932929595039,14.814,2.275591351714975,13.164000000000001,17.409999999999997
augmix,impulse_noise,3,80.74733333333334,0.6729705293200695,27.027333333333342,3.384644343698962,24.236000000000004,30.792000000000016
augmix,jpeg_compression,3,84.63933333333334,0.21513096786221653,5.081999999999998,0.1700705735863829,4.923999999999992,5.2620000000000005
augmix,motion_blur,3,89.71733333333334,0.3637599941353292,11.551333333333337,0.48575851339253495,11.082000000000008,12.051999999999992
augmix,pixelate,3,84.43266666666666,0.864338668192818,9.325333333333333,1.6043756833526726,8.163999999999987,11.156000000000006
augmix,shot_noise,3,82.09866666666666,1.308841217769881,24.01133333333333,2.628908772348968,21.963999999999984,26.976
augmix,snow,3,86.652,0.16957594168985457,4.9539999999999935,1.0927817714438708,4.116,6.189999999999998
augmix,zoom_blur,3,90.94666666666667,0.37893183204018055,13.345333333333329,0.9907095100650439,12.248000000000005,14.173999999999992
baseline,brightness,3,93.022,0.37316484293137314,0.0,0.0,0.0,0.0
baseline,contrast,3,76.41133333333333,0.7210057789874771,0.0,0.0,0.0,0.0
baseline,defocus_blur,3,82.42733333333334,0.09776161482572002,0.0,0.0,0.0,0.0
baseline,elastic_transform,3,84.41666666666667,0.19961295883116226,0.0,0.0,0.0,0.0
baseline,fog,3,88.00733333333334,0.7799034128232386,0.0,0.0,0.0,0.0
baseline,frost,3,76.65266666666668,1.6039455518605832,0.0,0.0,0.0,0.0
baseline,gaussian_noise,3,45.824666666666666,2.989004070477876,0.0,0.0,0.0,0.0
baseline,glass_blur,3,54.080000000000005,0.9660248444010107,0.0,0.0,0.0,0.0
baseline,impulse_noise,3,53.72,2.9972434001929193,0.0,0.0,0.0,0.0
baseline,jpeg_compression,3,79.55733333333333,0.05311622476543664,0.0,0.0,0.0,0.0
baseline,motion_blur,3,78.166,0.8321057625085849,0.0,0.0,0.0,0.0
baseline,pixelate,3,75.10733333333333,0.8127000266601105,0.0,0.0,0.0,0.0
baseline,shot_noise,3,58.08733333333333,2.389095505276705,0.0,0.0,0.0,0.0
baseline,snow,3,81.698,0.9963874748309566,0.0,0.0,0.0,0.0
baseline,zoom_blur,3,77.60133333333334,0.612993746569517,0.0,0.0,0.0,0.0
cutmix,brightness,3,94.10733333333333,0.1721549689475552,1.0853333333333286,0.2154096871854462,0.8780000000000001,1.3079999999999927
cutmix,contrast,3,80.92333333333333,0.4042639401842885,4.5120000000000005,0.3214778374942924,4.215999999999994,4.854000000000013
cutmix,defocus_blur,3,80.62733333333334,1.1206896686118526,-1.8000000000000018,1.0765519030683042,-3.0079999999999956,-0.9420000000000073
cutmix,elastic_transform,3,84.32600000000001,0.5420295194913287,-0.09066666666666379,0.6447831676876544,-0.6699999999999875,0.6039999999999992
cutmix,fog,3,88.93866666666668,0.21703763114569574,0.9313333333333323,0.6458183439120746,0.18999999999999773,1.3719999999999999
cutmix,frost,3,78.036,0.9300924685212757,1.3833333333333258,1.1063495529593352,0.5559999999999974,2.6399999999999864
cutmix,gaussian_noise,3,29.52333333333333,2.699573546568664,-16.301333333333332,5.669581054481301,-20.783999999999995,-9.928000000000004
cutmix,glass_blur,3,55.77533333333333,3.010622084110419,1.695333333333333,2.4294199582067626,-0.28000000000000824,4.408000000000001
cutmix,impulse_noise,3,51.95466666666667,0.741663895125911,-1.7653333333333332,2.8117733431650134,-4.248000000000005,1.2880000000000038
cutmix,jpeg_compression,3,73.52533333333334,0.6188968680913959,-6.031999999999992,0.6355690363760611,-6.755999999999986,-5.565999999999988
cutmix,motion_blur,3,78.18466666666666,0.7215548027234825,0.018666666666661058,1.5536413142464047,-1.293999999999997,1.7339999999999804
cutmix,pixelate,3,69.524,1.8354912149067888,-5.583333333333333,1.3387820335414338,-6.787999999999997,-4.141999999999996
