method,category,severity,seeds,accuracy_mean,accuracy_std,delta_mean,delta_std,delta_min,delta_max
augmix,blur,1,3,88.43416666666667,0.5032788325901748,6.290833333333329,1.06704127536536,5.602499999999992,7.519999999999996
augmix,blur,2,3,88.08083333333333,0.4157999318582668,8.212499999999997,0.718840211729987,7.742499999999993,9.040000000000006
augmix,blur,3,3,87.47166666666668,0.4435815407941699,11.485,0.6758096995456668,10.959999999999994,12.247500000000002
augmix,blur,4,3,83.02583333333332,0.4885330933860383,14.309999999999997,0.6819961510155431,13.914999999999992,15.09750000000001
augmix,blur,5,3,80.96750000000002,0.6631788974326546,22.33833333333334,0.4979102161367372,21.807500000000005,22.795
augmix,digital,1,3,92.55333333333333,0.18692132926270036,1.7683333333333309,0.42775820662301606,1.3899999999999864,2.2325000000000017
augmix,digital,2,3,90.91666666666667,0.10069549807877626,3.585000000000008,0.3317001658124388,3.210000000000008,3.8400000000000034
augmix,digital,3,3,89.41166666666668,0.1451794866134114,5.589166666666671,0.3083051788947573,5.235000000000014,5.797499999999999
augmix,digital,4,3,84.56,0.29166547618804683,9.71583333333333,0.7032173087555086,9.069999999999993,10.465000000000003
augmix,digital,5,3,71.91416666666667,0.21731793145833372,14.331666666666669,0.3202082655606125,14.004999999999995,14.645000000000003
augmix,noise,1,3,91.46777777777778,0.24254056552653683,9.468888888888893,1.05410485106419,8.25666666666666,10.170000000000016
augmix,noise,2,3,87.26444444444444,0.7144098833873139,19.917777777777776,2.2419196470221023,17.656666666666666,22.14
augmix,noise,3,3,80.24111111111111,1.2432409855487259,30.627777777777776,3.3480497363445867,28.14999999999999,34.43666666666667
augmix,noise,4,3,73.58777777777777,1.6475885858272217,36.35,4.7599264700203125,33.15,41.82
augmix,noise,5,3,64.43555555555555,2.2121013974482713,37.912222222222226,4.103951122371559,34.95,42.596666666666664
augmix,weather,1,3,93.66833333333334,0.15063061884402149,1.69583333333334,0.43375060038383606,1.3299999999999983,2.1750000000000114
augmix,weather,2,3,91.40083333333332,0.31543950819980415,3.481666666666669,0.9730632473448638,2.780000000000001,4.592500000000001
augmix,weather,3,3,89.85833333333333,0.24357151584972933,4.149166666666673,0.732736025682743,3.617500000000007,4.985000000000014
augmix,weather,4,3,88.44,0.3209069179684368,4.763333333333326,1.19343080374747,3.864999999999995,6.117499999999993
augmix,weather,5,3,83.705,0.558955499123142,8.757500000000002,1.7459291938678307,7.300000000000011,10.692499999999995
baseline,blur,1,3,82.14333333333333,0.5686405572357051,0.0,0.0,0.0,0.0
baseline,blur,2,3,79.86833333333334,0.3435688916845354,0.0,0.0,0.0,0.0
baseline,blur,3,3,75.98666666666666,0.23321574417979402,0.0,0.0,0.0,0.0
baseline,blur,4,3,68.71583333333334,0.24630181349989075,0.0,0.0,0.0,0.0
baseline,blur,5,3,58.62916666666666,0.35826258991602106,0.0,0.0,0.0,0.0
baseline,digital,1,3,90.78500000000001,0.37950625818292744,0.0,0.0,0.0,0.0
baseline,digital,2,3,87.33166666666666,0.4318588696939441,0.0,0.0,0.0,0.0
baseline,digital,3,3,83.8225,0.43130615576408665,0.0,0.0,0.0,0.0
baseline,digital,4,3,74.84416666666668,0.42911488360733424,0.0,0.0,0.0,0.0
baseline,digital,5,3,57.5825,0.5239692261955834,0.0,0.0,0.0,0.0
baseline,noise,1,3,81.99888888888889,0.8134790397718599,0.0,0.0,0.0,0.0
baseline,noise,2,3,67.34666666666666,1.9128541792596552,0.0,0.0,0.0,0.0
baseline,noise,3,3,49.61333333333334,3.3043422609920117,0.0,0.0,0.0,0.0
baseline,noise,4,3,37.23777777777778,4.623733860724991,0.0,0.0,0.0,0.0
baseline,noise,5,3,26.52333333333333,3.896784999628967,0.0,0.0,0.0,0.0
baseline,weather,1,3,91.97250000000001,0.4380924559953095,0.0,0.0,0.0,0.0
baseline,weather,2,3,87.91916666666667,0.7971995254221752,0.0,0.0,0.0,0.0
baseline,weather,3,3,85.70916666666666,0.7190981041091256,0.0,0.0,0.0,0.0
baseline,weather,4,3,83.67666666666668,1.1112389856971912,0.0,0.0,0.0,0.0
baseline,weather,5,3,74.9475,1.524489668708838,0.0,0.0,0.0,0.0
cutmix,blur,1,3,83.33333333333333,0.847560224015583,1.1900000000000024,0.2968901311933428,0.9050000000000011,1.4975000000000023
cutmix,blur,2,3,80.42666666666666,0.7246134026729916,0.5583333333333323,0.40461658806001666,0.10250000000000625,0.875
cutmix,blur,3,3,75.55916666666667,0.6079799201728051,-0.4274999999999996,0.4239619676338915,-0.7099999999999937,0.060000000000002274
cutmix,blur,4,3,67.295,0.9283486683353404,-1.420833333333339,0.688573404462683,-1.9675000000000011,-0.647500000000008
cutmix,blur,5,3,54.589999999999996,1.4520093835784929,-4.039166666666671,1.2944891205928801,-4.935000000000002,-2.555000000000007
cutmix,digital,1,3,91.09500000000001,0.05678908345799926,0.3100000000000023,0.34871191548325786,-0.09000000000000341,0.5499999999999972
cutmix,digital,2,3,86.8075,0.08321658488546564,-0.5241666666666541,0.3989543624693569,-0.9549999999999841,-0.16749999999998977
cutmix,digital,3,3,82.12,0.18342232688526683,-1.7025000000000006,0.30447701062641114,-2.0424999999999898,-1.4549999999999983
cutmix,digital,4,3,70.88083333333333,0.14405583408294345,-3.9633333333333383,0.5016057548845836,-4.280000000000001,-3.385000000000005
cutmix,digital,5,3,54.47,1.1384968159814945,-3.112499999999997,1.2049662858354164,-4.284999999999997,-1.8774999999999977
cutmix,noise,1,3,74.57888888888888,0.9857897755005781,-7.420000000000006,1.742472700248446,-9.320000000000007,-5.896666666666675
cutmix,noise,2,3,53.562222222222225,1.543122135777305,-13.784444444444444,3.3688381335959696,-16.96333333333333,-10.25333333333333
cutmix,noise,3,3,33.77555555555556,2.2757107151963027,-15.837777777777774,5.466295041568969,-19.189999999999998,-9.529999999999994
cutmix,noise,4,3,24.795555555555552,2.565095478693693,-12.442222222222226,7.180251723638582,-18.040000000000003,-4.346666666666668
cutmix,noise,5,3,18.363333333333333,2.6302872677924585,-8.160000000000002,6.395520133482324,-14.723333333333333,-1.946666666666669
cutmix,weather,1,3,93.6175,0.1342572158209868,1.6450000000000056,0.3204684071792419,1.335000000000008,1.9750000000000085
cutmix,weather,2,3,89.87666666666667,0.2916583332142822,1.957499999999996,0.6441467224165586,1.5224999999999937,2.697499999999991
cutmix,weather,3,3,87.7675,0.435344691020805,2.058333333333337,0.45971685126100953,1.7374999999999972,2.585000000000008
cutmix,weather,4,3,85.67,0.41327956639544694,1.9933333333333252,0.7100718860322016,1.3674999999999926,2.7649999999999864
cutmix,weather,5,3,76.585,0.5500681775925557,1.6374999999999982,0.9904639064599933,0.6650000000000063,2.644999999999996
mixup,blur,1,3,86.63416666666667,0.9271776169285619,4.490833333333332,1.2888617394171222,3.030000000000001,5.467500000000001
mixup,blur,2,3,84.795,0.9000243052273623,4.926666666666667,1.0817154585811037,3.6850000000000023,5.664999999999992
mixup,blur,3,3,82.54666666666667,0.7234739686632391,6.559999999999998,0.6465436953524509,5.924999999999997,7.217500000000001
mixup,blur,4,3,75.68416666666667,0.6786582964447778,6.968333333333329,0.5448872207469491,6.382499999999993,7.459999999999994
mixup,blur,5,3,68.2225,0.5932748098478497,9.593333333333328,0.889354869179532,8.602499999999992,10.322500000000005
mixup,digital,1,3,92.24416666666667,0.05886071128803279,1.4591666666666658,0.3222608932733432,1.0949999999999989,1.707499999999996
mixup,digital,2,3,89.77499999999999,0.14893371008606307,2.4433333333333422,0.428750607385375,2.015000000000015,2.8725000000000023
mixup,digital,3,3,87.16833333333334,0.0746798723441076,3.3458333333333314,0.49004038949185436,2.792500000000004,3.7249999999999943
mixup,digital,4,3,79.59500000000001,0.2870975443991102,4.750833333333333,0.1566112490638369,4.640000000000001,4.930000000000007
mixup,digital,5,3,68.52916666666665,0.7615950914582637,10.946666666666667,0.6559836761180338,10.250000000000007,11.552500000000002
mixup,noise,1,3,84.20222222222223,0.6380642020407735,2.203333333333338,1.451543240064789,0.5300000000000011,3.123333333333335
mixup,noise,2,3,70.2688888888889,1.5858482950190391,2.922222222222222,3.142259154269834,-0.4133333333333269,5.826666666666668
mixup,noise,3,3,52.72777777777778,3.4847482506445657,3.114444444444447,5.430936417448681,-2.106666666666662,8.733333333333327
mixup,noise,4,3,41.56777777777777,5.146451132504734,4.329999999999996,7.593789860434938,-3.0233333333333405,12.14333333333333
mixup,noise,5,3,30.854444444444443,5.585441724631923,4.331111111111112,7.018879566595394,-2.636666666666663,11.399999999999999
mixup,weather,1,3,93.87833333333333,0.15423872189996374,1.9058333333333384,0.5922749220871435,1.2750000000000057,2.450000000000003
mixup,weather,2,3,91.52666666666666,0.3381690898549575,3.607499999999997,1.1300746656747904,2.4849999999999994,4.74499999999999
mixup,weather,3,3,90.50333333333333,0.41152409811981966,4.794166666666669,1.1284401106542246,3.720000000000013,5.969999999999999
mixup,weather,4,3,89.16666666666667,0.6412747721011054,5.489999999999995,1.7525106989687689,3.8074999999999903,7.304999999999993
