control,corruption,mean,std,minimum,maximum,seeds,dataset
baseline,brightness,0.9339999999999976,0.1178473589012463,0.7980000000000018,1.0060000000000002,3,CIFAR-10
baseline,contrast,4.836666666666659,0.4039125317854523,4.411999999999992,5.215999999999994,3,CIFAR-10
baseline,defocus_blur,-1.4113333333333362,1.3491187246989578,-2.224000000000004,0.1460000000000008,3,CIFAR-10
baseline,elastic_transform,0.1860000000000023,0.348315948529489,-0.2159999999999939,0.3979999999999961,3,CIFAR-10
baseline,fog,0.8146666666666628,0.320464246575706,0.4779999999999944,1.1159999999999997,3,CIFAR-10
baseline,frost,1.1606666666666616,2.031165511063369,-0.0960000000000036,3.5039999999999907,3,CIFAR-10
baseline,gaussian_noise,-2.8286666666666656,2.2210279902183427,-5.253999999999998,-0.8939999999999984,3,CIFAR-10
baseline,glass_blur,1.4133333333333291,3.9360128726076704,-2.4480000000000004,5.419999999999988,3,CIFAR-10
baseline,impulse_noise,3.232000000000001,0.4729101394556902,2.6940000000000026,3.582000000000008,3,CIFAR-10
baseline,jpeg_compression,-2.6313333333333304,0.5040846489760601,-3.033999999999992,-2.0660000000000167,3,CIFAR-10
baseline,motion_blur,-0.4599999999999984,0.7110217999470876,-1.231999999999999,0.1679999999999921,3,CIFAR-10
baseline,pixelate,-3.055333333333328,1.1540958943403896,-3.7720000000000056,-1.7239999999999895,3,CIFAR-10
baseline,shot_noise,-3.5626666666666678,1.8807044779372764,-5.622,-1.936000000000007,3,CIFAR-10
baseline,snow,3.063999999999998,1.314101974734082,2.1639999999999877,4.572000000000003,3,CIFAR-10
baseline,zoom_blur,-3.139999999999996,1.4829645983636943,-4.167999999999992,-1.4399999999999975,3,CIFAR-10
cutmix_p1,brightness,-0.1513333333333311,0.1305424579718495,-0.3019999999999925,-0.0720000000000027,3,CIFAR-10
cutmix_p1,contrast,0.3246666666666584,0.361448935996957,-0.054000000000002,0.6659999999999968,3,CIFAR-10
cutmix_p1,defocus_blur,0.3886666666666656,2.40493270869131,-1.2139999999999986,3.1539999999999964,3,CIFAR-10
cutmix_p1,elastic_transform,0.2766666666666661,0.4228727152859783,-0.206000000000003,0.5820000000000078,3,CIFAR-10
cutmix_p1,fog,-0.1166666666666695,0.4050004115224258,-0.5220000000000056,0.2879999999999967,3,CIFAR-10
cutmix_p1,frost,-0.222666666666664,0.983000169548986,-1.0499999999999972,0.8640000000000043,3,CIFAR-10
cutmix_p1,gaussian_noise,13.472666666666669,6.167406370049999,7.590000000000003,19.89,3,CIFAR-10
cutmix_p1,glass_blur,-0.2820000000000036,5.182270930779285,-3.406000000000006,5.699999999999996,3,CIFAR-10
cutmix_p1,impulse_noise,4.997333333333335,2.4150895083481543,2.294000000000004,6.942000000000007,3,CIFAR-10
cutmix_p1,jpeg_compression,3.400666666666661,0.544486302245817,2.7720000000000056,3.721999999999994,3,CIFAR-10
cutmix_p1,motion_blur,-0.4786666666666595,0.9416630678397268,-1.5659999999999883,0.068000000000012,3,CIFAR-10
cutmix_p1,pixelate,2.528000000000006,2.333327238087277,0.4720000000000084,5.064000000000007,3,CIFAR-10
cutmix_p1,shot_noise,12.957333333333333,5.024808188710622,8.101999999999997,18.136,3,CIFAR-10
cutmix_p1,snow,-0.9693333333333336,0.5116105289508116,-1.3179999999999978,-0.382000000000005,3,CIFAR-10
cutmix_p1,zoom_blur,0.0853333333333428,3.039643619461557,-1.7980000000000018,3.592000000000013,3,CIFAR-10
baseline,brightness,1.443333333333328,0.616689008604285,0.8019999999999925,2.0319999999999965,3,CIFAR-100
baseline,contrast,2.4793333333333387,0.7045632216723605,1.8120000000000047,3.216000000000008,3,CIFAR-100
baseline,defocus_blur,1.5146666666666655,0.1411712907546509,1.357999999999997,1.632000000000005,3,CIFAR-100
baseline,elastic_transform,0.8446666666666663,0.1911055554748126,0.6839999999999975,1.0560000000000116,3,CIFAR-100
baseline,fog,0.9906666666666673,0.4086286007284989,0.5260000000000034,1.293999999999997,3,CIFAR-100
baseline,frost,0.2839999999999965,0.2730494460715857,0.0139999999999957,0.5599999999999952,3,CIFAR-100
baseline,gaussian_noise,-5.331333333333334,1.553685081776009,-6.529999999999998,-3.576000000000004,3,CIFAR-100
baseline,glass_blur,0.9166666666666666,0.7867129929862194,0.1499999999999985,1.7220000000000013,3,CIFAR-100
baseline,impulse_noise,3.714,1.203614556242986,2.390000000000001,4.742000000000001,3,CIFAR-100
baseline,jpeg_compression,-4.834666666666668,0.800703024431239,-5.716000000000001,-4.152000000000001,3,CIFAR-100
baseline,motion_blur,0.907333333333336,0.1368259234696953,0.779999999999994,1.0520000000000067,3,CIFAR-100
baseline,pixelate,-4.344000000000001,0.4900734638806719,-4.666000000000004,-3.780000000000001,3,CIFAR-100
baseline,shot_noise,-5.270666666666666,1.3492521385320562,-6.545999999999996,-3.858000000000001,3,CIFAR-100
baseline,snow,3.335333333333336,0.9058528210108694,2.5760000000000005,4.338000000000015,3,CIFAR-100
baseline,zoom_blur,0.4473333333333353,0.3374749373410316,0.1000000000000014,0.7740000000000009,3,CIFAR-100
cutmix_p1,brightness,-0.4000000000000009,0.3898666438668395,-0.7659999999999911,0.0099999999999909,3,CIFAR-100
cutmix_p1,contrast,0.7339999999999994,0.4427053195975875,0.2299999999999968,1.0600000000000025,3,CIFAR-100
cutmix_p1,defocus_blur,0.0293333333333383,0.235085799939798,-0.2019999999999981,0.2680000000000078,3,CIFAR-100
cutmix_p1,elastic_transform,0.7706666666666612,0.2948649408345027,0.441999999999993,1.0120000000000005,3,CIFAR-100
cutmix_p1,fog,0.0266666666666684,0.6581560098740517,-0.3799999999999954,0.7860000000000014,3,CIFAR-100
cutmix_p1,frost,0.4379999999999976,1.0605300561511657,-0.7839999999999989,1.118000000000002,3,CIFAR-100
cutmix_p1,gaussian_noise,4.642,2.170726145786242,2.136000000000001,5.94,3,CIFAR-100
cutmix_p1,glass_blur,0.5873333333333323,0.5497538843276447,0.0139999999999993,1.1099999999999994,3,CIFAR-100
cutmix_p1,impulse_noise,3.426666666666668,3.88831291607727,-0.4019999999999974,7.372,3,CIFAR-100
cutmix_p1,jpeg_compression,2.6133333333333346,1.3875393087524854,1.3560000000000016,4.101999999999997,3,CIFAR-100
cutmix_p1,motion_blur,0.69266666666667,0.3452612537388695,0.314,0.9900000000000092,3,CIFAR-100
cutmix_p1,pixelate,1.952666666666668,0.4036896497723639,1.4939999999999998,2.253999999999998,3,CIFAR-100
cutmix_p1,shot_noise,5.629333333333334,2.409634273771297,2.868000000000002,7.306000000000001,3,CIFAR-100
cutmix_p1,snow,-0.6093333333333367,0.6269205159614276,-1.3160000000000096,-0.1199999999999903,3,CIFAR-100
cutmix_p1,zoom_blur,-0.6940000000000026,0.4243536261185963,-1.1840000000000046,-0.4480000000000004,3,CIFAR-100
