dataset,control,metric,mean,std,minimum,maximum
CIFAR-10,baseline,clean,1.1400000000000052,0.17349351572897337,1.0300000000000011,1.3400000000000034
CIFAR-10,baseline,mca,-0.09653333333333569,0.6943311153749306,-0.8077333333333456,0.5796000000000134
CIFAR-10,baseline,noise,-3.1956666666666655,2.0508496613192624,-5.438000000000002,-1.4150000000000065
CIFAR-10,cutmix_p1,clean,-0.20999999999999375,0.3078960863668168,-0.4699999999999988,0.1300000000000096
CIFAR-10,cutmix_p1,mca,2.4140444444444378,1.0257215505483352,1.6615999999999929,3.582400000000007
CIFAR-10,cutmix_p1,noise,13.214999999999998,5.595846942152721,7.846000000000011,19.013
CIFAR-100,baseline,clean,2.0333333333333266,0.45544849690534533,1.5899999999999892,2.5
CIFAR-100,baseline,mca,-0.19355555555556236,0.4256978653841165,-0.5356000000000094,0.2831999999999937
CIFAR-100,baseline,noise,-5.301000000000002,1.4421570649551303,-6.537999999999997,-3.7170000000000014
CIFAR-100,cutmix_p1,clean,-0.6900000000000025,0.08544003745318327,-0.7700000000000102,-0.5999999999999943
CIFAR-100,cutmix_p1,mca,1.3226222222222195,0.6958372521513086,0.533066666666663,1.8464000000000027
CIFAR-100,cutmix_p1,noise,5.1356666666666655,2.287186116898521,2.501999999999999,6.623000000000001
