method,seed,corruption,severity,accuracy
baseline,44,gaussian_noise,3,33.81
baseline,44,gaussian_noise,4,26.4
baseline,44,gaussian_noise,5,22.06
baseline,44,glass_blur,1,56.83
baseline,44,glass_blur,2,58.18
baseline,44,glass_blur,3,61.25
baseline,44,glass_blur,4,46.42
baseline,44,glass_blur,5,49.03
baseline,44,impulse_noise,1,81.65
baseline,44,impulse_noise,2,67.19
baseline,44,impulse_noise,3,54.95
baseline,44,impulse_noise,4,30.66
baseline,44,impulse_noise,5,16.93
baseline,44,jpeg_compression,1,87.06
baseline,44,jpeg_compression,2,81.66
baseline,44,jpeg_compression,3,79.54
baseline,44,jpeg_compression,4,76.72
baseline,44,jpeg_compression,5,72.96
baseline,44,motion_blur,1,90.93
baseline,44,motion_blur,2,84.28
baseline,44,motion_blur,3,75.07
baseline,44,motion_blur,4,75.17
baseline,44,motion_blur,5,66.48
baseline,44,pixelate,1,92.81
baseline,44,pixelate,2,88.1
baseline,44,pixelate,3,83.41
baseline,44,pixelate,4,65.48
baseline,44,pixelate,5,46.04
baseline,44,shot_noise,1,85.99
baseline,44,shot_noise,2,75.08
baseline,44,shot_noise,3,48.87
baseline,44,shot_noise,4,39.15
baseline,44,shot_noise,5,28.18
baseline,44,snow,1,89.59
baseline,44,snow,2,81.31
baseline,44,snow,3,83.41
baseline,44,snow,4,81.7
baseline,44,snow,5,76.84
baseline,44,zoom_blur,1,87.79
baseline,44,zoom_blur,2,84.7
baseline,44,zoom_blur,3,78.89
baseline,44,zoom_blur,4,73.05
baseline,44,zoom_blur,5,62.88
cutmix_p05,42,brightness,1,95.19
cutmix_p05,42,brightness,2,94.89
cutmix_p05,42,brightness,3,94.12
cutmix_p05,42,brightness,4,93.36
cutmix_p05,42,brightness,5,90.94
cutmix_p05,42,contrast,1,94.97
cutmix_p05,42,contrast,2,92.47
cutmix_p05,42,contrast,3,89.22
cutmix_p05,42,contrast,4,82.46
cutmix_p05,42,contrast,5,45.42
cutmix_p05,42,defocus_blur,1,95.34
cutmix_p05,42,defocus_blur,2,94.01
cutmix_p05,42,defocus_blur,3,88.18
cutmix_p05,42,defocus_blur,4,77.93
cutmix_p05,42,defocus_blur,5,45.13
cutmix_p05,42,elastic_transform,1,91.24
cutmix_p05,42,elastic_transform,2,90.61
cutmix_p05,42,elastic_transform,3,86.37
cutmix_p05,42,elastic_transform,4,79.77
cutmix_p05,42,elastic_transform,5,75.2
cutmix_p05,42,fog,1,95.28
cutmix_p05,42,fog,2,94.32
cutmix_p05,42,fog,3,92.38
cutmix_p05,42,fog,4,89.28
cutmix_p05,42,fog,5,71.61
cutmix_p05,42,frost,1,90.52
cutmix_p05,42,frost,2,85.08
cutmix_p05,42,frost,3,76.57
cutmix_p05,42,frost,4,74.71
cutmix_p05,42,frost,5,65.44
cutmix_p05,42,gaussian_noise,1,76.35
cutmix_p05,42,gaussian_noise,2,59.04
cutmix_p05,42,gaussian_noise,3,41.6
cutmix_p05,42,gaussian_noise,4,33.07
cutmix_p05,42,gaussian_noise,5,27.35
cutmix_p05,42,glass_blur,1,60.62
cutmix_p05,42,glass_blur,2,61.47
cutmix_p05,42,glass_blur,3,64.09
cutmix_p05,42,glass_blur,4,51.98
cutmix_p05,42,glass_blur,5,53.99
cutmix_p05,42,impulse_noise,1,86.6
cutmix_p05,42,impulse_noise,2,72.23
cutmix_p05,42,impulse_noise,3,59.06
cutmix_p05,42,impulse_noise,4,42.37
cutmix_p05,42,impulse_noise,5,32.57
cutmix_p05,42,jpeg_compression,1,86.26
cutmix_p05,42,jpeg_compression,2,79.8
cutmix_p05,42,jpeg_compression,3,77.41
cutmix_p05,42,jpeg_compression,4,74.22
cutmix_p05,42,jpeg_compression,5,69.46
cutmix_p05,42,motion_blur,1,90.9
cutmix_p05,42,motion_blur,2,82.9
cutmix_p05,42,motion_blur,3,74.28
cutmix_p05,42,motion_blur,4,74.49
cutmix_p05,42,motion_blur,5,65.6
cutmix_p05,42,pixelate,1,93.24
cutmix_p05,42,pixelate,2,86.98
cutmix_p05,42,pixelate,3,80.13
cutmix_p05,42,pixelate,4,56.87
cutmix_p05,42,pixelate,5,43.36
cutmix_p05,42,shot_noise,1,83.99
cutmix_p05,42,shot_noise,2,74.4
cutmix_p05,42,shot_noise,3,54.18
cutmix_p05,42,shot_noise,4,45.33
cutmix_p05,42,shot_noise,5,33.0
cutmix_p05,42,snow,1,91.95
cutmix_p05,42,snow,2,84.41
cutmix_p05,42,snow,3,86.71
cutmix_p05,42,snow,4,83.96
cutmix_p05,42,snow,5,78.89
cutmix_p05,42,zoom_blur,1,88.68
cutmix_p05,42,zoom_blur,2,83.5
cutmix_p05,42,zoom_blur,3,75.2
cutmix_p05,42,zoom_blur,4,66.24
cutmix_p05,42,zoom_blur,5,52.67
cutmix_p05,43,brightness,1,95.3
cutmix_p05,43,brightness,2,95.02
cutmix_p05,43,brightness,3,94.55
cutmix_p05,43,brightness,4,93.66
cutmix_p05,43,brightness,5,91.18
cutmix_p05,43,contrast,1,94.96
cutmix_p05,43,contrast,2,92.46
cutmix_p05,43,contrast,3,89.37
cutmix_p05,43,contrast,4,82.27
cutmix_p05,43,contrast,5,45.04
cutmix_p05,43,defocus_blur,1,95.27
cutmix_p05,43,defocus_blur,2,93.93
cutmix_p05,43,defocus_blur,3,88.76
cutmix_p05,43,defocus_blur,4,77.68
cutmix_p05,43,defocus_blur,5,46.25
cutmix_p05,43,elastic_transform,1,91.36
cutmix_p05,43,elastic_transform,2,90.87
cutmix_p05,43,elastic_transform,3,86.67
cutmix_p05,43,elastic_transform,4,79.8
cutmix_p05,43,elastic_transform,5,75.02
cutmix_p05,43,fog,1,95.36
cutmix_p05,43,fog,2,94.09
cutmix_p05,43,fog,3,92.58
cutmix_p05,43,fog,4,89.58
cutmix_p05,43,fog,5,70.96
cutmix_p05,43,frost,1,89.7
cutmix_p05,43,frost,2,84.2
cutmix_p05,43,frost,3,74.93
cutmix_p05,43,frost,4,72.84
cutmix_p05,43,frost,5,62.94
cutmix_p05,43,gaussian_noise,1,71.17
cutmix_p05,43,gaussian_noise,2,49.55
cutmix_p05,43,gaussian_noise,3,33.68
cutmix_p05,43,gaussian_noise,4,28.16
cutmix_p05,43,gaussian_noise,5,23.98
cutmix_p05,43,glass_blur,1,53.73
cutmix_p05,43,glass_blur,2,56.39
cutmix_p05,43,glass_blur,3,59.27
cutmix_p05,43,glass_blur,4,44.39
cutmix_p05,43,glass_blur,5,48.42
cutmix_p05,43,impulse_noise,1,88.34
cutmix_p05,43,impulse_noise,2,75.65
cutmix_p05,43,impulse_noise,3,61.36
cutmix_p05,43,impulse_noise,4,40.03
cutmix_p05,43,impulse_noise,5,26.78
cutmix_p05,43,jpeg_compression,1,85.27
cutmix_p05,43,jpeg_compression,2,79.51
cutmix_p05,43,jpeg_compression,3,77.19
cutmix_p05,43,jpeg_compression,4,73.27
cutmix_p05,43,jpeg_compression,5,68.73
cutmix_p05,43,motion_blur,1,90.71
cutmix_p05,43,motion_blur,2,83.05
cutmix_p05,43,motion_blur,3,73.87
cutmix_p05,43,motion_blur,4,74.22
cutmix_p05,43,motion_blur,5,65.22
cutmix_p05,43,pixelate,1,93.4
cutmix_p05,43,pixelate,2,87.1
cutmix_p05,43,pixelate,3,80.89
cutmix_p05,43,pixelate,4,57.86
cutmix_p05,43,pixelate,5,43.46
cutmix_p05,43,shot_noise,1,81.52
cutmix_p05,43,shot_noise,2,69.06
cutmix_p05,43,shot_noise,3,47.16
cutmix_p05,43,shot_noise,4,38.9
cutmix_p05,43,shot_noise,5,28.71
cutmix_p05,43,snow,1,91.97
cutmix_p05,43,snow,2,82.51
cutmix_p05,43,snow,3,86.17
cutmix_p05,43,snow,4,83.65
cutmix_p05,43,snow,5,77.54
cutmix_p05,43,zoom_blur,1,89.01
cutmix_p05,43,zoom_blur,2,84.23
cutmix_p05,43,zoom_blur,3,76.73
cutmix_p05,43,zoom_blur,4,67.15
cutmix_p05,43,zoom_blur,5,53.4
cutmix_p05,44,brightness,1,95.86
cutmix_p05,44,brightness,2,95.34
cutmix_p05,44,brightness,3,94.61
cutmix_p05,44,brightness,4,93.81
cutmix_p05,44,brightness,5,91.51
cutmix_p05,44,contrast,1,95.41
cutmix_p05,44,contrast,2,92.83
cutmix_p05,44,contrast,3,90.11
cutmix_p05,44,contrast,4,84.0
cutmix_p05,44,contrast,5,47.73
cutmix_p05,44,defocus_blur,1,95.73
cutmix_p05,44,defocus_blur,2,94.4
cutmix_p05,44,defocus_blur,3,89.23
cutmix_p05,44,defocus_blur,4,79.46
cutmix_p05,44,defocus_blur,5,53.94
cutmix_p05,44,elastic_transform,1,91.26
cutmix_p05,44,elastic_transform,2,91.02
cutmix_p05,44,elastic_transform,3,86.42
cutmix_p05,44,elastic_transform,4,79.06
cutmix_p05,44,elastic_transform,5,74.37
cutmix_p05,44,fog,1,95.66
cutmix_p05,44,fog,2,94.84
cutmix_p05,44,fog,3,92.87
cutmix_p05,44,fog,4,90.3
cutmix_p05,44,fog,5,73.22
cutmix_p05,44,frost,1,90.63
cutmix_p05,44,frost,2,85.22
cutmix_p05,44,frost,3,75.99
cutmix_p05,44,frost,4,74.09
cutmix_p05,44,frost,5,64.34
cutmix_p05,44,gaussian_noise,1,73.09
cutmix_p05,44,gaussian_noise,2,50.08
cutmix_p05,44,gaussian_noise,3,31.31
cutmix_p05,44,gaussian_noise,4,25.51
cutmix_p05,44,gaussian_noise,5,21.0
cutmix_p05,44,glass_blur,1,57.06
cutmix_p05,44,glass_blur,2,59.09
cutmix_p05,44,glass_blur,3,62.9
cutmix_p05,44,glass_blur,4,47.4
cutmix_p05,44,glass_blur,5,51.6
cutmix_p05,44,impulse_noise,1,86.11
cutmix_p05,44,impulse_noise,2,70.75
cutmix_p05,44,impulse_noise,3,55.94
cutmix_p05,44,impulse_noise,4,34.83
cutmix_p05,44,impulse_noise,5,21.66
cutmix_p05,44,jpeg_compression,1,85.77
cutmix_p05,44,jpeg_compression,2,79.47
cutmix_p05,44,jpeg_compression,3,76.93
cutmix_p05,44,jpeg_compression,4,73.13
cutmix_p05,44,jpeg_compression,5,67.47
cutmix_p05,44,motion_blur,1,91.39
cutmix_p05,44,motion_blur,2,83.65
cutmix_p05,44,motion_blur,3,74.63
cutmix_p05,44,motion_blur,4,74.46
cutmix_p05,44,motion_blur,5,66.22
cutmix_p05,44,pixelate,1,93.48
cutmix_p05,44,pixelate,2,87.21
cutmix_p05,44,pixelate,3,80.06
cutmix_p05,44,pixelate,4,56.16
cutmix_p05,44,pixelate,5,40.58
cutmix_p05,44,shot_noise,1,82.05
cutmix_p05,44,shot_noise,2,70.36
cutmix_p05,44,shot_noise,3,45.19
cutmix_p05,44,shot_noise,4,37.79
cutmix_p05,44,shot_noise,5,26.23
cutmix_p05,44,snow,1,91.79
cutmix_p05,44,snow,2,83.44
cutmix_p05,44,snow,3,86.21
cutmix_p05,44,snow,4,83.71
cutmix_p05,44,snow,5,78.52
cutmix_p05,44,zoom_blur,1,89.22
cutmix_p05,44,zoom_blur,2,85.25
