method,corruption,mean,std,seeds
baseline,brightness,93.022,0.37316484293137314,3
baseline,contrast,76.41133333333333,0.7210057789874771,3
baseline,defocus_blur,82.42733333333334,0.09776161482572002,3
baseline,elastic_transform,84.41666666666667,0.19961295883116226,3
baseline,fog,88.00733333333334,0.7799034128232386,3
baseline,frost,76.65266666666668,1.6039455518605832,3
baseline,gaussian_noise,45.824666666666666,2.989004070477876,3
baseline,glass_blur,54.080000000000005,0.9660248444010107,3
baseline,impulse_noise,53.72,2.9972434001929193,3
baseline,jpeg_compression,79.55733333333333,0.05311622476543664,3
baseline,motion_blur,78.166,0.8321057625085849,3
baseline,pixelate,75.10733333333333,0.8127000266601105,3
baseline,shot_noise,58.08733333333333,2.389095505276705,3
baseline,snow,81.698,0.9963874748309566,3
baseline,zoom_blur,77.60133333333334,0.612993746569517,3
cutmix_p05,brightness,93.956,0.2632793193549356,3
cutmix_p05,contrast,81.24799999999999,0.6665613250106853,3
cutmix_p05,defocus_blur,81.016,1.3365522810574881,3
cutmix_p05,elastic_transform,84.60266666666666,0.16191767455510384,3
cutmix_p05,fog,88.822,0.48244377910799086,3
cutmix_p05,frost,77.81333333333333,0.7986747356298028,3
cutmix_p05,gaussian_noise,42.996,3.9244326978558277,3
cutmix_p05,glass_blur,55.49333333333333,2.9967037446723555,3
cutmix_p05,impulse_noise,56.952,2.680320130133707,3
cutmix_p05,jpeg_compression,76.926,0.45267206673262983,3
cutmix_p05,motion_blur,77.706,0.3338742278164073,3
cutmix_p05,pixelate,72.052,0.5249342816010406,3
cutmix_p05,shot_noise,54.52466666666667,3.187510836582882,3
cutmix_p05,snow,84.762,0.40871995302407055,3
cutmix_p05,zoom_blur,74.46133333333334,1.4162236169946205,3
cutmix_p1,brightness,94.10733333333333,0.1721549689475552,3
cutmix_p1,contrast,80.92333333333333,0.4042639401842885,3
cutmix_p1,defocus_blur,80.62733333333334,1.1206896686118526,3
cutmix_p1,elastic_transform,84.32600000000001,0.5420295194913287,3
cutmix_p1,fog,88.93866666666668,0.21703763114569574,3
cutmix_p1,frost,78.036,0.9300924685212757,3
cutmix_p1,gaussian_noise,29.52333333333333,2.699573546568664,3
cutmix_p1,glass_blur,55.77533333333333,3.010622084110419,3
cutmix_p1,impulse_noise,51.95466666666667,0.741663895125911,3
cutmix_p1,jpeg_compression,73.52533333333334,0.6188968680913959,3
cutmix_p1,motion_blur,78.18466666666666,0.7215548027234825,3
cutmix_p1,pixelate,69.524,1.8354912149067888,3
cutmix_p1,shot_noise,41.56733333333333,2.30734855046509,3
cutmix_p1,snow,85.73133333333334,0.1920555475203213,3
cutmix_p1,zoom_blur,74.37599999999999,1.7105659882039113,3
