control,corruption,mean,std,minimum,maximum,seeds
baseline,brightness,0.9339999999999975,0.11784735890124631,0.7980000000000018,1.0060000000000002,3
baseline,contrast,4.836666666666659,0.40391253178545233,4.411999999999992,5.215999999999994,3
baseline,defocus_blur,-1.4113333333333362,1.3491187246989578,-2.2240000000000038,0.1460000000000008,3
baseline,elastic_transform,0.1860000000000023,0.348315948529489,-0.21599999999999397,0.39799999999999613,3
baseline,fog,0.8146666666666628,0.320464246575706,0.47799999999999443,1.1159999999999997,3
baseline,frost,1.1606666666666616,2.0311655110633695,-0.09600000000000364,3.5039999999999907,3
baseline,gaussian_noise,-2.8286666666666656,2.2210279902183427,-5.253999999999998,-0.8939999999999984,3
baseline,glass_blur,1.4133333333333293,3.9360128726076704,-2.4480000000000004,5.4199999999999875,3
baseline,impulse_noise,3.2320000000000015,0.4729101394556902,2.6940000000000026,3.582000000000008,3
baseline,jpeg_compression,-2.6313333333333304,0.5040846489760601,-3.033999999999992,-2.0660000000000167,3
baseline,motion_blur,-0.45999999999999847,0.7110217999470876,-1.2319999999999993,0.16799999999999216,3
baseline,pixelate,-3.0553333333333277,1.1540958943403896,-3.7720000000000056,-1.7239999999999895,3
baseline,shot_noise,-3.5626666666666673,1.8807044779372764,-5.622,-1.936000000000007,3
baseline,snow,3.063999999999998,1.3141019747340819,2.1639999999999873,4.572000000000003,3
baseline,zoom_blur,-3.1399999999999957,1.4829645983636945,-4.167999999999992,-1.4399999999999977,3
cutmix_p1,brightness,-0.15133333333333118,0.13054245797184955,-0.3019999999999925,-0.07200000000000273,3
cutmix_p1,contrast,0.32466666666665844,0.361448935996957,-0.054000000000002046,0.6659999999999968,3
cutmix_p1,defocus_blur,0.3886666666666656,2.40493270869131,-1.2139999999999986,3.1539999999999964,3
cutmix_p1,elastic_transform,0.2766666666666661,0.4228727152859783,-0.20600000000000307,0.5820000000000078,3
cutmix_p1,fog,-0.11666666666666951,0.4050004115224258,-0.5220000000000056,0.2879999999999967,3
cutmix_p1,frost,-0.22266666666666404,0.9830001695489861,-1.0499999999999972,0.8640000000000043,3
cutmix_p1,gaussian_noise,13.472666666666669,6.167406370049999,7.590000000000003,19.889999999999997,3
cutmix_p1,glass_blur,-0.2820000000000036,5.182270930779285,-3.406000000000006,5.699999999999996,3
cutmix_p1,impulse_noise,4.9973333333333345,2.4150895083481543,2.294000000000004,6.942000000000007,3
cutmix_p1,jpeg_compression,3.400666666666661,0.544486302245817,2.7720000000000056,3.721999999999994,3
cutmix_p1,motion_blur,-0.4786666666666595,0.9416630678397268,-1.5659999999999883,0.06800000000001205,3
cutmix_p1,pixelate,2.528000000000006,2.333327238087277,0.4720000000000084,5.064000000000007,3
cutmix_p1,shot_noise,12.957333333333333,5.024808188710622,8.101999999999997,18.135999999999996,3
cutmix_p1,snow,-0.9693333333333337,0.5116105289508116,-1.3179999999999978,-0.382000000000005,3
cutmix_p1,zoom_blur,0.08533333333334288,3.039643619461557,-1.7980000000000018,3.592000000000013,3
