seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
43,gaussian_noise,1,71.17,78.71,baseline,-7.539999999999992
43,gaussian_noise,2,49.55,58.64,baseline,-9.090000000000003
43,gaussian_noise,3,33.68,38.26,baseline,-4.579999999999998
43,gaussian_noise,4,28.16,30.98,baseline,-2.8200000000000003
43,gaussian_noise,5,23.98,26.22,baseline,-2.2399999999999984
43,glass_blur,1,53.73,57.12,baseline,-3.3900000000000006
43,glass_blur,2,56.39,58.36,baseline,-1.9699999999999989
43,glass_blur,3,59.27,61.87,baseline,-2.5999999999999943
43,glass_blur,4,44.39,47.47,baseline,-3.0799999999999983
43,glass_blur,5,48.42,49.62,baseline,-1.1999999999999957
43,impulse_noise,1,88.34,84.2,baseline,4.140000000000001
43,impulse_noise,2,75.65,71.18,baseline,4.469999999999999
43,impulse_noise,3,61.36,60.5,baseline,0.8599999999999994
43,impulse_noise,4,40.03,40.15,baseline,-0.11999999999999744
43,impulse_noise,5,26.78,22.66,baseline,4.120000000000001
43,jpeg_compression,1,85.27,86.63,baseline,-1.3599999999999994
43,jpeg_compression,2,79.51,81.62,baseline,-2.1099999999999994
43,jpeg_compression,3,77.19,79.67,baseline,-2.480000000000004
43,jpeg_compression,4,73.27,76.83,baseline,-3.5600000000000023
43,jpeg_compression,5,68.73,73.19,baseline,-4.459999999999994
43,motion_blur,1,90.71,90.15,baseline,0.5599999999999881
43,motion_blur,2,83.05,82.84,baseline,0.20999999999999375
43,motion_blur,3,73.87,73.94,baseline,-0.06999999999999318
43,motion_blur,4,74.22,74.31,baseline,-0.09000000000000341
43,motion_blur,5,65.22,64.99,baseline,0.23000000000000398
43,pixelate,1,93.4,91.82,baseline,1.5800000000000125
43,pixelate,2,87.1,86.86,baseline,0.23999999999999488
43,pixelate,3,80.89,82.06,baseline,-1.1700000000000017
43,pixelate,4,57.86,63.72,baseline,-5.859999999999999
43,pixelate,5,43.46,46.87,baseline,-3.4099999999999966
43,shot_noise,1,81.52,85.9,baseline,-4.38000000000001
43,shot_noise,2,69.06,76.76,baseline,-7.700000000000003
43,shot_noise,3,47.16,53.68,baseline,-6.520000000000003
43,shot_noise,4,38.9,44.85,baseline,-5.950000000000003
43,shot_noise,5,28.71,32.27,baseline,-3.5600000000000023
43,snow,1,91.97,89.43,baseline,2.539999999999992
43,snow,2,82.51,80.53,baseline,1.980000000000004
43,snow,3,86.17,83.56,baseline,2.6099999999999994
43,snow,4,83.65,80.68,baseline,2.969999999999999
